2019-11-27 16:01:18.986 +02:00 [INF] Application starting up!
2019-11-27 16:01:31.803 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-27 16:02:00.836 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 114.8392 ms
2019-11-27 16:02:00.872 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 21.6143 ms
2019-11-27 16:02:01.740 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.9445 ms
2019-11-27 16:02:01.779 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 1.5416 ms
2019-11-27 16:02:01.786 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8647 ms
2019-11-27 16:02:12.248 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 17.066 ms
2019-11-27 16:02:12.262 +02:00 [INF] HTTP GET /Home/Privacy responded 302 in 0.2316 ms
2019-11-27 16:02:12.273 +02:00 [INF] HTTP GET /?ReturnUrl=%2FHome%2FPrivacy responded 200 in 0.9515 ms
2019-11-27 16:02:12.284 +02:00 [INF] HTTP GET /notification?id=9hG3M2r_iZf0fuBA0pNZ5A responded 101 in 10514.5032 ms
2019-11-27 16:02:17.591 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 44.1125 ms
2019-11-27 16:02:17.635 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 27.7053 ms
2019-11-27 16:02:17.848 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6886 ms
2019-11-27 16:02:17.866 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.8835 ms
2019-11-27 16:02:17.883 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7005 ms
2019-11-27 16:02:23.036 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 934.1367 ms
2019-11-27 16:02:23.088 +02:00 [INF] HTTP GET /notification?id=v3A48JyhjuNw42Bedga-ZQ responded 101 in 5223.3618 ms
2019-11-27 16:02:23.203 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5591 ms
2019-11-27 16:02:23.918 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 3.8767 ms
2019-11-27 16:02:23.927 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.0712 ms
2019-11-27 16:02:24.727 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=c64cfb23-2ba3-48e0-9069-24f5014e154c responded 200 in 149.6291 ms
2019-11-27 16:02:29.300 +02:00 [INF] Status of email with id c64cfb23-2ba3-48e0-9069-24f5014e154c has been updated by 94814f62-5a92-4a88-8053-848c30c05b2d at 27.11.2019 г. 16:02:29. From status: NotReviewed to status: New.
2019-11-27 16:02:29.339 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=c64cfb23-2ba3-48e0-9069-24f5014e154c&status=New responded 200 in 129.0899 ms
2019-11-27 16:02:29.467 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 103.0166 ms
2019-11-27 16:02:29.483 +02:00 [INF] HTTP GET /notification?id=G43tmAwtE7xNgGKcgcuFkQ responded 101 in 6248.2706 ms
2019-11-27 16:02:29.567 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.921 ms
2019-11-27 16:02:29.685 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.547 ms
2019-11-27 16:02:29.702 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8065 ms
2019-11-27 16:02:34.873 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 59.123 ms
2019-11-27 16:02:34.892 +02:00 [INF] HTTP GET /notification?id=vXYmPGzTgWpgfX-m_bH3Ng responded 101 in 42015.1506 ms
2019-11-27 16:02:35.398 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7603 ms
2019-11-27 16:02:35.464 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 1.7548 ms
2019-11-27 16:02:35.506 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7474 ms
2019-11-27 16:02:46.890 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 15.9329 ms
2019-11-27 16:02:46.906 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 302 in 0.8099 ms
2019-11-27 16:02:46.914 +02:00 [INF] HTTP GET /?ReturnUrl=%2FEmail%2FListEmailsAsync%3FemailStatus%3DNew responded 200 in 1.3259 ms
2019-11-27 16:02:46.946 +02:00 [INF] HTTP GET /notification?id=BEvjP_t79zGu5cF12VbN7Q responded 101 in 17344.2748 ms
2019-11-27 16:02:50.685 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 76.8444 ms
2019-11-27 16:02:50.736 +02:00 [INF] HTTP GET /notification?id=aIuK_asScHwUh52SOFK4vA responded 101 in 15297.8578 ms
2019-11-27 16:02:51.291 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7419 ms
2019-11-27 16:02:51.374 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3506 ms
2019-11-27 16:02:51.477 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.6417 ms
2019-11-27 16:02:54.719 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 19.9696 ms
2019-11-27 16:02:54.732 +02:00 [INF] HTTP GET /notification?id=XWWbx8DDdRU27cx3P-corg responded 101 in 3359.2951 ms
2019-11-27 16:02:55.176 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.0417 ms
2019-11-27 16:02:55.256 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3245 ms
2019-11-27 16:02:55.313 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8218 ms
2019-11-27 16:02:56.609 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 46.1085 ms
2019-11-27 16:02:56.618 +02:00 [INF] HTTP GET /notification?id=VJ3ncoZyXP5aVcPbDDDSlA responded 101 in 1362.2172 ms
2019-11-27 16:02:57.596 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.8342 ms
2019-11-27 16:02:57.679 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.7889 ms
2019-11-27 16:02:57.769 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8083 ms
2019-11-27 16:02:58.579 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 61.3031 ms
2019-11-27 16:02:58.590 +02:00 [INF] HTTP GET /notification?id=z5IHPmHObom0JuqkJRLCQg responded 101 in 927.0764 ms
2019-11-27 16:02:58.885 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5526 ms
2019-11-27 16:02:58.991 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 3.2349 ms
2019-11-27 16:02:59.000 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8168 ms
2019-11-27 16:03:01.161 +02:00 [INF] HTTP GET /Manager/Register responded 200 in 61.7821 ms
2019-11-27 16:03:01.171 +02:00 [INF] HTTP GET /notification?id=XQAT_s6q-1kBXPpspKbsBA responded 101 in 2257.6742 ms
2019-11-27 16:03:01.648 +02:00 [INF] HTTP GET /Manager/images/icons/favicon.ico responded 302 in 3.6868 ms
2019-11-27 16:03:01.689 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.0521 ms
2019-11-27 16:03:04.205 +02:00 [INF] HTTP GET / responded 302 in 2.4519 ms
2019-11-27 16:03:04.228 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 12.8217 ms
2019-11-27 16:03:04.671 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6729 ms
2019-11-27 16:03:04.693 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.8981 ms
2019-11-27 16:03:04.718 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8954 ms
2019-11-27 16:05:02.558 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 50.9643 ms
2019-11-27 16:05:02.632 +02:00 [INF] HTTP GET /notification?id=sGg9s75OBn47dSq9wAHZow responded 101 in 117940.2909 ms
2019-11-27 16:05:03.046 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5224 ms
2019-11-27 16:05:03.201 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.4117 ms
2019-11-27 16:05:03.236 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.1903 ms
2019-11-27 16:05:03.661 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 20.6372 ms
2019-11-27 16:05:03.673 +02:00 [INF] HTTP GET /notification?id=B13lDV4gik0bt9tLNkUmwQ responded 101 in 472.5533 ms
2019-11-27 16:05:03.970 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7687 ms
2019-11-27 16:05:04.034 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3539 ms
2019-11-27 16:05:04.103 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.1144 ms
2019-11-27 16:05:04.679 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 41.6813 ms
2019-11-27 16:05:04.705 +02:00 [INF] HTTP GET /notification?id=3jxmamhKfJpo-3L9JX-rcg responded 101 in 671.3585 ms
2019-11-27 16:05:05.260 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6736 ms
2019-11-27 16:05:05.353 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.6593 ms
2019-11-27 16:05:05.453 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.954 ms
2019-11-27 16:05:05.721 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 44.8292 ms
2019-11-27 16:05:05.733 +02:00 [INF] HTTP GET /notification?id=jdhOAtLKcaYziZDj14O6zg responded 101 in 416.0372 ms
2019-11-27 16:05:06.192 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 3.3073 ms
2019-11-27 16:05:07.045 +02:00 [INF] HTTP GET /Manager/Register responded 200 in 5.953 ms
2019-11-27 16:05:07.062 +02:00 [INF] HTTP GET /notification?id=xd-uA4Q4cHcbL3V4mQXwSQ responded 101 in 819.5345 ms
2019-11-27 16:05:07.568 +02:00 [INF] HTTP GET /Manager/images/icons/favicon.ico responded 302 in 0.9841 ms
2019-11-27 16:05:07.603 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.0523 ms
2019-11-27 16:05:08.662 +02:00 [INF] HTTP GET / responded 302 in 1.5579 ms
2019-11-27 16:05:08.711 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 38.9038 ms
2019-11-27 16:05:09.083 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6473 ms
2019-11-27 16:05:09.118 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3674 ms
2019-11-27 16:05:09.127 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7525 ms
2019-11-27 16:05:17.164 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 59.889 ms
2019-11-27 16:05:17.183 +02:00 [INF] HTTP GET /Manager/Register responded 302 in 0.591 ms
2019-11-27 16:05:17.192 +02:00 [INF] HTTP GET /?ReturnUrl=%2FManager%2FRegister responded 200 in 0.6463 ms
2019-11-27 16:05:49.360 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 55.2655 ms
2019-11-27 16:05:49.431 +02:00 [INF] HTTP GET /notification?id=YdJBfVYihe2gK9lXR3FpwA responded 101 in 40326.8303 ms
2019-11-27 16:05:49.876 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7615 ms
2019-11-27 16:05:49.910 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.6982 ms
2019-11-27 16:05:49.919 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.1228 ms
2019-11-27 16:05:55.189 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 9.5162 ms
2019-11-27 16:05:55.211 +02:00 [INF] HTTP GET /Home/Privacy responded 302 in 0.8133 ms
2019-11-27 16:05:55.223 +02:00 [INF] HTTP GET /?ReturnUrl=%2FHome%2FPrivacy responded 200 in 1.4395 ms
2019-11-27 16:05:55.233 +02:00 [INF] HTTP GET /notification?id=-g3uIU6KwSeT66mDF99Gdg responded 101 in 5340.6577 ms
2019-11-27 16:05:57.589 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 59.0643 ms
2019-11-27 16:05:57.624 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 19.4627 ms
2019-11-27 16:05:58.213 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.0995 ms
2019-11-27 16:05:58.287 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 2.1011 ms
2019-11-27 16:05:58.296 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8696 ms
2019-11-27 16:06:03.194 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 64.883 ms
2019-11-27 16:06:03.238 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 30.4512 ms
2019-11-27 16:06:03.446 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4997 ms
2019-11-27 16:06:03.463 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3 ms
2019-11-27 16:06:03.478 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8047 ms
2019-11-27 16:06:04.201 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 87.6992 ms
2019-11-27 16:06:04.213 +02:00 [INF] HTTP GET /notification?id=_NIuRx-5-mfD8CRnSSF_4A responded 101 in 749.7781 ms
2019-11-27 16:06:04.544 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5889 ms
2019-11-27 16:06:04.561 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3724 ms
2019-11-27 16:06:04.573 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8535 ms
2019-11-27 16:06:06.501 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 19.4326 ms
2019-11-27 16:06:06.515 +02:00 [INF] HTTP GET /Home/Privacy responded 302 in 0.2707 ms
2019-11-27 16:06:06.526 +02:00 [INF] HTTP GET /?ReturnUrl=%2FHome%2FPrivacy responded 200 in 1.2731 ms
2019-11-27 16:06:06.538 +02:00 [INF] HTTP GET /notification?id=C2Hh82DL1_rA0I3y-vbdYg responded 101 in 1978.0301 ms
2019-11-27 16:06:10.263 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 38.8196 ms
2019-11-27 16:06:10.351 +02:00 [INF] HTTP GET /notification?id=3xcI1cOlfhClNjgw3hBJrA responded 101 in 12113.9368 ms
2019-11-27 16:06:10.858 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5484 ms
2019-11-27 16:06:10.921 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.6597 ms
2019-11-27 16:06:10.973 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.0953 ms
2019-11-27 16:06:11.745 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 34.9413 ms
2019-11-27 16:06:11.755 +02:00 [INF] HTTP GET /notification?id=VWbUk6f0-wTJwqmN67EYzg responded 101 in 850.3648 ms
2019-11-27 16:06:12.110 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.0068 ms
2019-11-27 16:06:12.168 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.6225 ms
2019-11-27 16:06:12.242 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8045 ms
2019-11-27 16:06:13.300 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 36.0557 ms
2019-11-27 16:06:13.312 +02:00 [INF] HTTP GET /notification?id=GJDfoxqkgfGJ72r-WtVI5A responded 101 in 1145.1899 ms
2019-11-27 16:06:13.645 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5293 ms
2019-11-27 16:06:14.168 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.488 ms
2019-11-27 16:06:14.183 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.0028 ms
2019-11-27 16:06:14.503 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 34.7971 ms
2019-11-27 16:06:14.520 +02:00 [INF] HTTP GET /notification?id=8kj1HAsgdt1_QxHNjUHGHQ responded 101 in 816.704 ms
2019-11-27 16:06:15.076 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.6051 ms
2019-11-27 16:06:15.164 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.5761 ms
2019-11-27 16:06:15.266 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.5723 ms
2019-11-27 16:08:37.483 +02:00 [INF] HTTP GET /notification?id=rJjOxHXYb3nlYoGeVoFn_Q responded 101 in 142336.7382 ms
2019-11-27 16:08:37.629 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 227.5717 ms
2019-11-27 16:08:38.199 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5917 ms
2019-11-27 16:08:38.623 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.752 ms
2019-11-27 16:08:38.643 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.3138 ms
2019-11-27 16:10:40.629 +02:00 [INF] HTTP GET /notification?id=UuP9v68riSNhlgh1YQMyTA responded 101 in 122388.7208 ms
2019-11-27 16:10:40.705 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 297.1256 ms
2019-11-27 16:10:41.887 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.1365 ms
2019-11-27 16:10:41.946 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.3592 ms
2019-11-27 16:10:42.062 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.0564 ms
2019-11-27 16:11:53.914 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 130.1761 ms
2019-11-27 16:11:53.914 +02:00 [INF] HTTP GET /notification?id=vLCbl3FSzdkA3AyWLwi06g responded 101 in 71972.2052 ms
2019-11-27 16:11:54.566 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7027 ms
2019-11-27 16:11:54.625 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 4.5395 ms
2019-11-27 16:11:54.775 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8311 ms
2019-11-27 16:13:18.304 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 44.4103 ms
2019-11-27 16:13:18.322 +02:00 [INF] HTTP GET /notification?id=Q1b3P-etJm--o43IaLS9SQ responded 101 in 83697.0834 ms
2019-11-27 16:13:18.930 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5602 ms
2019-11-27 16:13:18.985 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 2.4881 ms
2019-11-27 16:13:19.049 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.4454 ms
2019-11-27 16:13:22.411 +02:00 [INF] HTTP GET /notification?id=3GfC6S3ffnLfugQ1ngYICw responded 101 in 3432.5085 ms
2019-11-27 16:13:22.476 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 300.7639 ms
2019-11-27 16:13:23.290 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.2002 ms
2019-11-27 16:13:23.376 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.4404 ms
2019-11-27 16:13:23.667 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.9801 ms
2019-11-27 16:14:25.318 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 166.0747 ms
2019-11-27 16:14:25.425 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 41.2128 ms
2019-11-27 16:14:25.861 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 6.8843 ms
2019-11-27 16:14:26.022 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.6391 ms
2019-11-27 16:14:26.038 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.9316 ms
2019-11-27 16:14:40.283 +02:00 [INF] HTTP GET /notification?id=_WEguYaGZriDqLv5Rc1k0g responded 101 in 14378.7827 ms
2019-11-27 16:14:40.291 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 272.8908 ms
2019-11-27 16:14:41.069 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4846 ms
2019-11-27 16:14:41.383 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.9221 ms
2019-11-27 16:14:41.391 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.5828 ms
2019-11-27 16:14:44.586 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=00c5ff72-6b50-42a2-9d2a-af6b3ca38893 responded 200 in 17.4445 ms
2019-11-27 16:14:45.998 +02:00 [INF] Status of email with id 00c5ff72-6b50-42a2-9d2a-af6b3ca38893 has been updated by 7901865d-33f1-41a3-b453-2727dd22a31f at 27.11.2019 г. 16:14:45. From status: NotReviewed to status: New.
2019-11-27 16:14:46.015 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=00c5ff72-6b50-42a2-9d2a-af6b3ca38893&status=New responded 200 in 37.026 ms
2019-11-27 16:14:46.089 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 51.5246 ms
2019-11-27 16:14:46.105 +02:00 [INF] HTTP GET /notification?id=GCr-DWcqZYSDIpMHqdJQsQ responded 101 in 5011.6428 ms
2019-11-27 16:14:46.215 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5437 ms
2019-11-27 16:14:46.539 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.42 ms
2019-11-27 16:14:46.549 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.6329 ms
2019-11-27 16:14:49.157 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 149.196 ms
2019-11-27 16:14:49.160 +02:00 [INF] HTTP GET /notification?id=yWLzVinQrU_rvhkdWt3Eqw responded 101 in 2745.6934 ms
2019-11-27 16:14:50.060 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4202 ms
2019-11-27 16:14:50.339 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 2.0822 ms
2019-11-27 16:14:50.359 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.6328 ms
2019-11-27 16:14:51.046 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=04e4f8e7-f9af-4b05-a650-e1376d0757c2 responded 200 in 10.9953 ms
2019-11-27 16:14:52.478 +02:00 [INF] Status of email with id 04e4f8e7-f9af-4b05-a650-e1376d0757c2 has been updated by 7901865d-33f1-41a3-b453-2727dd22a31f at 27.11.2019 г. 16:14:52. From status: NotReviewed to status: InvalidApplication.
2019-11-27 16:14:52.495 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=04e4f8e7-f9af-4b05-a650-e1376d0757c2&status=InvalidApplication responded 200 in 27.4153 ms
2019-11-27 16:14:54.035 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=0978efed-9f46-4559-9439-17cb1d5ded0f responded 200 in 23.7502 ms
2019-11-27 16:14:55.276 +02:00 [INF] Status of email with id 0978efed-9f46-4559-9439-17cb1d5ded0f has been updated by 7901865d-33f1-41a3-b453-2727dd22a31f at 27.11.2019 г. 16:14:55. From status: NotReviewed to status: InvalidApplication.
