2019-11-25 15:04:28.380 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=86b9655f-c1f1-4d2e-9695-d5ffec372eb5 responded 200 in 11.766 ms
2019-11-25 15:04:29.965 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=86b9655f-c1f1-4d2e-9695-d5ffec372eb5 responded 200 in 7.3706 ms
2019-11-25 15:04:31.372 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=36a2344c-b7e4-4d25-843e-55710e1f612c responded 200 in 9.7262 ms
2019-11-25 15:04:33.999 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=36a2344c-b7e4-4d25-843e-55710e1f612c responded 200 in 11.2648 ms
2019-11-25 15:04:35.037 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 14.37 ms
2019-11-25 15:04:35.049 +02:00 [INF] HTTP GET /notification?id=vCeKlvGmInM6u4VGUJTRPA responded 101 in 10008.6557 ms
2019-11-25 15:04:35.402 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5073 ms
2019-11-25 15:04:35.584 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.4066 ms
2019-11-25 15:04:35.592 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.6255 ms
2019-11-25 15:04:36.898 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=d2f2f145-678a-428e-9a4a-fdb4babcaf65 responded 200 in 6.079 ms
2019-11-25 15:04:48.192 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=d2f2f145-678a-428e-9a4a-fdb4babcaf65 responded 200 in 10.2657 ms
2019-11-25 15:04:49.323 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 53.9158 ms
2019-11-25 15:04:49.334 +02:00 [INF] HTTP GET /notification?id=XOD_tR0iU89bLYO7uC-_ug responded 101 in 13914.8491 ms
2019-11-25 15:04:49.545 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6063 ms
2019-11-25 15:04:49.818 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.8873 ms
2019-11-25 15:04:49.846 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.1728 ms
2019-11-25 15:04:50.290 +02:00 [INF] HTTP GET /Manager/Register responded 200 in 2.4894 ms
2019-11-25 15:04:50.308 +02:00 [INF] HTTP GET /notification?id=MzADmlEs4LAeqEKU5-b3-g responded 101 in 698.4318 ms
2019-11-25 15:04:50.756 +02:00 [INF] HTTP GET /Manager/images/icons/favicon.ico responded 302 in 0.4372 ms
2019-11-25 15:04:50.769 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.5289 ms
2019-11-25 15:04:52.250 +02:00 [INF] HTTP GET / responded 302 in 1.0752 ms
2019-11-25 15:04:52.281 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 18.6557 ms
2019-11-25 15:04:52.547 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.0321 ms
2019-11-25 15:04:52.739 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.8547 ms
2019-11-25 15:04:52.766 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.836 ms
2019-11-25 15:04:56.707 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 19.8199 ms
2019-11-25 15:04:56.720 +02:00 [INF] HTTP GET /notification?id=r-KwRrS4kT2bNHwLOLy1pg responded 101 in 4135.22 ms
2019-11-25 15:04:56.988 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5219 ms
2019-11-25 15:04:57.127 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.5932 ms
2019-11-25 15:04:57.136 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.75 ms
2019-11-25 15:05:10.459 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=240fe2c6-2e72-440a-b0ad-e7ead8917716 responded 200 in 9.0064 ms
2019-11-25 15:05:11.935 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=240fe2c6-2e72-440a-b0ad-e7ead8917716 responded 200 in 10.2818 ms
2019-11-25 15:05:13.430 +02:00 [INF] HTTP GET / responded 302 in 1.0168 ms
2019-11-25 15:05:13.459 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 19.8413 ms
2019-11-25 15:05:13.470 +02:00 [INF] HTTP GET /notification?id=ccFRXNqyY-nsDMrqSGXkeQ responded 101 in 16363.3643 ms
2019-11-25 15:05:13.586 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5575 ms
2019-11-25 15:05:13.880 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.4584 ms
2019-11-25 15:05:13.891 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8741 ms
2019-11-25 15:05:28.982 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 33.5211 ms
2019-11-25 15:05:28.996 +02:00 [INF] HTTP GET /notification?id=0ybHyED_l9RBFf9qMF9i0A responded 101 in 15318.1914 ms
2019-11-25 15:05:29.292 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5581 ms
2019-11-25 15:05:29.631 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.4357 ms
2019-11-25 15:05:29.674 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.3862 ms
2019-11-25 15:05:31.043 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=d2f2f145-678a-428e-9a4a-fdb4babcaf65 responded 200 in 11.1924 ms
